timestamp (UTC),ADCS.Attitude_Mode,ADCS.MTQ_Current_X,ADCS.MTQ_Current_Y,ADCS.MTQ_Current_Z,ADCS.Pointing_Error,ADCS.RW_Speed_X,ADCS.RW_Speed_Y,ADCS.RW_Speed_Z,Comms.Data_Backlog,Comms.Downlink_Data_Rate,Comms.Downlink_SNR,Comms.Tx_Power,EPS.Battery_Current,EPS.Battery_SoC,EPS.Battery_Voltage,EPS.Solar_Array_Current,Payload.Image_Store_Utilization,Payload.Imaging_Activity,Payload.Payload_Mode,Payload.Payload_Power_Draw,Platform.Event_Log,Platform.GNSS_Sats_Tracked,Platform.Latitude,Platform.Longitude,Platform.Memory_Usage,Platform.OBC_CPU_Load,Platform.Reset_Count,Platform.Satellite_Mode,Thermal.Battery_Temp,Thermal.Heater_Status_Batt,Thermal.OBC_Temp,Thermal.Payload_Temp
2025-12-23T17:29:21.517075061Z,,,,,1.989,118,-10,183,,10,-4.8,1,1.09,,27.61,0.07,,TRUE,,24.4,,11,-0.9715,89.4147,48,77,,,,,18.2,18.7
2025-12-23T17:29:22.517075061Z,,,,,,114,-15,187,,-3,-5,0,1.03,,27.6,0,,TRUE,,23.6,,7,-1.0376,89.4013,,84,,,,,,
2025-12-23T17:29:23.517075061Z,,0,0.1,0.1,1.859,114,-22,181,100,10,-5,2,1.13,80.7,27.59,-0.04,,TRUE,,24.9,Imaging capture started for target acquisition,10,-1.1036,89.3879,47,66,,,13.7,FALSE,18.7,18.1
2025-12-23T17:29:24.517075061Z,,,,,,111,-18,176,,2,-6.2,-2,1.09,,27.61,0.01,,TRUE,,25.5,,10,-1.1697,89.3745,,83,,,,,,
2025-12-23T17:29:25.517075061Z,,,,,1.036,110,-13,172,,11,-3.5,0,1.13,,27.59,-0.02,,TRUE,,24.7,,9,-1.2357,89.3611,49,82,,,,,18.6,18.9
2025-12-23T17:29:26.517075061Z,,,,,,93,-14,159,,-5,-6.2,0,1.04,,27.61,0.07,,TRUE,,25.4,,9,-1.3018,89.3477,,72,,,,,,
2025-12-23T17:29:27.517075061Z,,,,,1.351,101,-22,166,,-1,-4.2,-1,1.19,,27.61,-0.07,,TRUE,,24.2,,10,-1.3679,89.3343,47,83,,,,,18.7,18
2025-12-23T17:29:28.517075061Z,,0,0,0,,99,-17,159,,-1,-5.3,-2,1.12,,27.59,-0.02,,TRUE,,23.9,"Payload active, imaging in progress",11,-1.4339,89.3208,,81,,,,,,
2025-12-23T17:29:29.517075061Z,,,,,1.817,101,-20,155,,3,-5,0,1.1,,27.59,-0.01,,TRUE,,24.9,,9,-1.5,89.3074,49,73,,,,,18.7,18.4
2025-12-23T17:29:30.517075061Z,,,,,,99,-3,158,,-5,-4.5,-2,1.08,,27.58,-0.02,,TRUE,,24.9,,7,-1.566,89.294,,80,,,,,,
2025-12-23T17:29:31.517075061Z,,,,,1.725,85,-23,162,,1,-5.8,0,1.16,,27.59,0.02,,TRUE,,25.4,,13,-1.6321,89.2806,47,84,,,,,17.7,18.2
2025-12-23T17:29:32.517075061Z,,,,,,101,-11,160,,4,-4.4,0,1.1,,27.55,0.03,,TRUE,,25.2,,9,-1.6982,89.2672,,78,,,,,,
2025-12-23T17:29:33.517075061Z,,0,0,0,1.337,99,-29,153,100,-2,-4.7,-1,1.1,79.5,27.61,0.04,,TRUE,,24.2,"Payload active, imaging in progress",8,-1.7642,89.2538,48,74,,,15,FALSE,17.9,18.9
2025-12-23T17:29:34.517075061Z,,,,,,100,-18,153,,-11,-5,0,1.14,,27.59,0.02,,TRUE,,24.5,,8,-1.8303,89.2404,,79,,,,,,
2025-12-23T17:29:35.517075061Z,,,,,1.581,113,-15,156,,8,-6.1,1,1.19,,27.58,-0.03,,TRUE,,24.8,,8,-1.8964,89.227,49,82,,,,,17.8,18.6
2025-12-23T17:29:36.517075061Z,,,,,,105,-13,150,,3,-4.7,-1,0.27,,27.68,-0.01,,FALSE,,3.1,,10,-1.9624,89.2135,,23,,,,,,
2025-12-23T17:29:37.517075061Z,,,,,0.014,98,5,143,,9,-4.3,0,0.37,,27.66,-0.11,,FALSE,,3.2,,13,-2.0285,89.2001,50,38,,,,,18,18.2
2025-12-23T17:29:38.517075061Z,,0,-0.1,0,,98,-1,134,,1,-7.6,1,0.35,,27.68,-0.04,,FALSE,,2.4,"Imaging capture completed, returning to standby",10,-2.0945,89.1867,,28,,,,,,
2025-12-23T17:29:39.517075061Z,,,,,0.087,94,2,126,,-1,-5.7,1,0.35,,27.66,0.05,,FALSE,,2.9,,10,-2.1606,89.1733,50,24,,,,,18.1,17.5
2025-12-23T17:29:40.517075061Z,,,,,,76,4,120,,5,-5.8,1,0.35,,27.66,0.02,,FALSE,,3.3,,8,-2.2267,89.1599,,33,,,,,,
2025-12-23T17:29:41.517075061Z,,,,,0.101,82,10,121,,1,-5.9,-2,0.24,,27.69,-0.01,,FALSE,,3,,11,-2.2927,89.1464,47,35,,,,,18,17.5
2025-12-23T17:29:42.517075061Z,,,,,,76,4,94,,6,-6.4,-1,0.27,,27.67,-0.04,,FALSE,,2.1,,9,-2.3588,89.133,,25,,,,,,
2025-12-23T17:29:43.517075061Z,,0,0,0,0.078,80,6,108,177.5,1,-6.8,-1,0.39,78.9,27.65,-0.04,,FALSE,,4.2,"System nominal, all subsystems operating normally",8,-2.4248,89.1196,48,23,,,12.9,FALSE,17.5,16.8
2025-12-23T17:29:44.517075061Z,,,,,,96,7,123,,-1,-5.4,0,0.33,,27.64,-0.02,,FALSE,,3.1,,9,-2.4909,89.1062,,31,,,,,,
2025-12-23T17:29:45.517075061Z,,,,,0.073,95,17,107,,-7,-5.1,1,0.33,,27.66,0.08,,FALSE,,3.2,,10,-2.557,89.0928,47,27,,,,,17.5,17.8
2025-12-23T17:29:46.517075061Z,,,,,,97,9,109,,-3,-4.8,1,0.26,,27.68,0,,FALSE,,2.2,,9,-2.623,89.0793,,36,,,,,,
2025-12-23T17:29:47.517075061Z,,,,,0.1,103,2,109,,-2,-6,0,0.32,,27.68,-0.04,,FALSE,,3,,8,-2.6891,89.0659,47,23,,,,,17.5,17.2
2025-12-23T17:29:48.517075061Z,,0,-0.1,0,,108,3,102,,4,-5.9,1,0.22,,27.67,0,,FALSE,,3.7,"System nominal, all subsystems operating normally",12,-2.7551,89.0525,,30,,,,,,
2025-12-23T17:29:49.517075061Z,,,,,0.005,111,9,100,,3,-5.4,0,0.3,,27.66,-0.07,,FALSE,,2.1,,11,-2.8212,89.0391,50,36,,,,,17,17.5
2025-12-23T17:29:50.517075061Z,,,,,,120,15,93,,-4,-4.4,2,0.27,,27.7,0.04,,FALSE,,2.3,,10,-2.8873,89.0256,,25,,,,,,
2025-12-23T17:29:51.517075061Z,,,,,0.051,115,-5,92,,4,-5.3,-1,0.3,,27.64,0.01,,FALSE,,3.5,,10,-2.9533,89.0122,48,38,,,,,17.2,17.1
2025-12-23T17:29:52.517075061Z,,,,,,120,-6,118,,1,-3.6,-1,0.3,,27.66,0.02,,FALSE,,2.8,,12,-3.0194,88.9988,,39,,,,,,
2025-12-23T17:29:53.517075061Z,,0,0,0,0.064,120,-3,116,177.5,-8,-5,-2,0.26,80.1,27.67,-0.12,,FALSE,,3.1,"System nominal, all subsystems operating normally",11,-3.0854,88.9853,48,40,,,13.4,FALSE,16.9,17.1
2025-12-23T17:29:54.517075061Z,,,,,,108,-17,118,,5,-5.5,-1,0.3,,27.65,0.08,,FALSE,,3.2,,12,-3.1515,88.9719,,38,,,,,,
2025-12-23T17:29:55.517075061Z,,,,,0.029,112,-9,115,,-1,-6.1,2,0.24,,27.65,0.08,,FALSE,,2.9,,10,-3.2176,88.9585,47,32,,,,,17.3,17.2
2025-12-23T17:29:56.517075061Z,,,,,,106,-9,122,,-5,-6.3,-1,0.3,,27.66,-0.08,,FALSE,,3.7,,11,-3.2836,88.945,,27,,,,,,
2025-12-23T17:29:57.517075061Z,,,,,-0.003,92,-12,126,,-1,-6.7,-2,0.28,,27.64,-0.04,,FALSE,,2.8,,12,-3.3497,88.9316,49,40,,,,,17,17.5
2025-12-23T17:29:58.517075061Z,,0,-0.1,0,,106,-16,133,,2,-5.3,0,0.35,,27.64,-0.01,,FALSE,,3.4,"System nominal, all subsystems operating normally",10,-3.4157,88.9182,,26,,,,,,
2025-12-23T17:29:59.517075061Z,,,,,0.012,124,-20,126,,7,-4.1,0,0.35,,27.67,0.05,,FALSE,,2.5,,10,-3.4818,88.9047,48,44,,,,,16.9,16
2025-12-23T17:30:00.517075061Z,,,,,,113,-12,130,,-7,-4.4,0,0.28,,27.67,0.08,,FALSE,,3.5,,9,-3.5478,88.8913,,32,,,,,,
2025-12-23T17:30:01.517075061Z,,,,,0.059,121,-12,142,,0,-5.4,-1,0.36,,27.62,0.03,,FALSE,,3.2,,11,-3.6139,88.8778,48,21,,,,,17.1,16.8
2025-12-23T17:30:02.517075061Z,,,,,,122,-18,138,,5,-4.7,0,0.28,,27.67,0.03,,FALSE,,3,,11,-3.68,88.8644,,25,,,,,,
2025-12-23T17:30:03.517075061Z,,-0.1,0,-0.1,0.061,119,-1,141,177.5,-1,-6.4,1,0.25,79.6,27.64,-0.1,,FALSE,,3.1,"System nominal, all subsystems operating normally",12,-3.746,88.851,48,19,,,14.3,FALSE,16.7,15.9
2025-12-23T17:30:04.517075061Z,,,,,,125,-5,128,,-9,-6.2,-1,0.3,,27.7,0.03,,FALSE,,3.2,,11,-3.8121,88.8375,,39,,,,,,
2025-12-23T17:30:05.517075061Z,,,,,0.043,119,2,130,,6,-3.7,-1,0.15,,27.66,-0.03,,FALSE,,3.3,,11,-3.8781,88.8241,47,26,,,,,16.6,16.4
2025-12-23T17:30:06.517075061Z,,,,,,113,-3,140,,-1,-4.5,0,0.31,,27.64,-0.03,,FALSE,,3.2,,12,-3.9442,88.8106,,31,,,,,,
2025-12-23T17:30:07.517075061Z,,,,,0.06,119,-4,143,,0,-6.8,1,0.34,,27.67,0.05,,FALSE,,2.7,,11,-4.0102,88.7972,50,24,,,,,16.3,16.4
2025-12-23T17:30:08.517075061Z,,0,-0.1,0,,124,0,136,,0,-5.7,1,0.19,,27.68,0.05,,FALSE,,2.9,"System nominal, all subsystems operating normally",12,-4.0763,88.7837,,39,,,,,,
2025-12-23T17:30:09.517075061Z,,,,,0.062,117,-18,141,,-1,-4.4,0,0.27,,27.68,0.05,,FALSE,,2.9,,11,-4.1424,88.7703,48,30,,,,,16.6,16.2
2025-12-23T17:30:10.517075061Z,,,,,,109,-11,148,,1,-3.9,1,0.29,,27.65,0.03,,FALSE,,3.2,,12,-4.2084,88.7568,,19,,,,,,
2025-12-23T17:30:11.517075061Z,,,,,0.055,109,-28,139,,-5,-4.5,0,0.3,,27.71,-0.14,,FALSE,,2.7,,12,-4.2745,88.7434,47,26,,,,,16.2,15.4
2025-12-23T17:30:12.517075061Z,,,,,,106,-29,135,,-3,-6.6,1,0.33,,27.7,-0.05,,FALSE,,2.4,,11,-4.3405,88.7299,,26,,,,,,
2025-12-23T17:30:13.517075061Z,,0,0,0,0.002,104,-21,126,177.5,3,-5,2,0.17,80.3,27.65,-0.02,,FALSE,,2.8,"System nominal, all subsystems operating normally",10,-4.4066,88.7164,50,19,,,13.2,FALSE,16.3,14.6
2025-12-23T17:30:14.517075061Z,,,,,,105,-18,137,,8,-5.1,0,0.33,,27.67,0,,FALSE,,3.7,,10,-4.4726,88.703,,43,,,,,,
2025-12-23T17:30:15.517075061Z,,,,,0.064,98,-14,141,,-4,-4.5,-1,0.37,,27.66,0.1,,FALSE,,3.4,,11,-4.5387,88.6895,49,14,,,,,16.1,16.1
2025-12-23T17:30:16.517075061Z,,,,,,91,-22,139,,-6,-4.5,0,0.27,,27.67,-0.07,,FALSE,,3,,11,-4.6047,88.6761,,33,,,,,,
2025-12-23T17:30:17.517075061Z,,,,,0.103,96,-6,127,,-5,-4.7,-1,0.31,,27.64,0.01,,FALSE,,3.2,,10,-4.6708,88.6626,47,39,,,,,15.8,15.3
2025-12-23T17:30:18.517075061Z,,0.1,-0.1,0,,94,-21,133,,-1,-4,-1,0.39,,27.68,-0.02,,FALSE,,3.1,"System nominal, all subsystems operating normally",10,-4.7368,88.6491,,18,,,,,,
2025-12-23T17:30:19.517075061Z,,,,,0.02,96,-15,131,,-6,-3.9,0,0.32,,27.68,0.02,,FALSE,,3.2,,9,-4.8029,88.6357,45,23,,,,,16.2,15.9
2025-12-23T17:30:20.517075061Z,,,,,,107,-14,127,,1,-5,0,0.34,,27.69,0,,FALSE,,3.3,,12,-4.8689,88.6222,,36,,,,,,
2025-12-23T17:30:21.517075061Z,,,,,-0.009,86,-1,127,,-1,-5.4,1,0.38,,27.65,0.06,,FALSE,,2.4,,12,-4.935,88.6087,49,27,,,,,16,16.3
2025-12-23T17:30:22.517075061Z,,,,,,98,-14,117,,2,-3.4,0,0.3,,27.68,0.04,,FALSE,,3.1,,10,-5.001,88.5952,,38,,,,,,
2025-12-23T17:30:23.517075061Z,,0.1,0,0,0.055,90,-12,112,177.5,2,-5.6,1,0.31,80,27.68,-0.05,,FALSE,,3,"System nominal, all subsystems operating normally",11,-5.0671,88.5818,48,23,,,12.4,FALSE,15.6,15.3
2025-12-23T17:30:24.517075061Z,,,,,,90,-27,123,,-2,-4.8,0,0.43,,27.66,0.09,,FALSE,,2.5,,11,-5.1332,88.5683,,34,,,,,,
2025-12-23T17:30:25.517075061Z,,,,,0.032,105,-23,119,,-6,-5.6,-1,0.35,,27.68,0.08,,FALSE,,3.3,,11,-5.1992,88.5548,50,26,,,,,15.5,16.1
2025-12-23T17:30:26.517075061Z,,,,,,106,-32,111,,0,-5.7,1,0.33,,27.69,-0.06,,FALSE,,3.2,,14,-5.2653,88.5413,,36,,,,,,
2025-12-23T17:30:27.517075061Z,,,,,0.038,118,-42,127,,-2,-5.3,1,0.35,,27.66,0.02,,FALSE,,3.2,,11,-5.3313,88.5278,48,19,,,,,15.8,16.1
2025-12-23T17:30:28.517075061Z,,0,0,0.1,,101,-33,116,,-1,-2.7,2,0.32,,27.66,0,,FALSE,,3.1,"System nominal, all subsystems operating normally",10,-5.3974,88.5144,,32,,,,,,
2025-12-23T17:30:29.517075061Z,,,,,0.066,103,-44,114,,-2,-6.3,0,0.36,,27.62,0.04,,FALSE,,3.1,,11,-5.4634,88.5009,48,29,,,,,15.6,15.5
2025-12-23T17:30:30.517075061Z,,,,,,117,-46,127,,-2,-1.9,-2,0.31,,27.7,-0.01,,FALSE,,3.4,,8,-5.5295,88.4874,,24,,,,,,
2025-12-23T17:30:31.517075061Z,,,,,0.075,106,-32,121,,-3,-3.8,-2,0.3,,27.69,-0.01,,FALSE,,2.8,,12,-5.5955,88.4739,50,25,,,,,15.4,15.5
2025-12-23T17:30:32.517075061Z,,,,,,103,-31,114,,-7,-3.6,0,0.32,,27.67,-0.05,,FALSE,,3,,10,-5.6615,88.4604,,38,,,,,,
2025-12-23T17:30:33.517075061Z,1,-0.1,0,0,0.095,101,-18,122,177.5,2,-4.7,-1,0.34,80.2,27.65,-0.06,4.4,FALSE,1,2.1,"System nominal, all subsystems operating normally",9,-5.7276,88.4469,48,32,,0,12.7,FALSE,15.3,13.5
2025-12-23T17:30:34.517075061Z,,,,,,104,-15,122,,4,-5.3,-1,0.32,,27.67,0.01,,FALSE,,3.1,,12,-5.7936,88.4334,,36,,,,,,
2025-12-23T17:30:35.517075061Z,,,,,0.016,93,-11,123,,-5,-3.4,0,0.31,,27.68,-0.05,,FALSE,,1.9,,10,-5.8597,88.4199,50,33,,,,,15.4,14
2025-12-23T17:30:36.517075061Z,,,,,,107,-18,118,,7,-4.2,1,0.34,,27.67,-0.02,,FALSE,,3.5,,11,-5.9257,88.4064,,34,,,,,,
2025-12-23T17:30:37.517075061Z,,,,,0.072,105,-21,130,,7,-4.8,-1,0.31,,27.66,-0.01,,FALSE,,3.3,,11,-5.9918,88.3929,49,34,,,,,14.9,14.1
2025-12-23T17:30:38.517075061Z,,0,0.1,0,,110,-21,135,,2,-5.2,-1,0.25,,27.66,0,,FALSE,,3.2,"System nominal, all subsystems operating normally",10,-6.0578,88.3794,,37,,,,,,
2025-12-23T17:30:39.517075061Z,,,,,0.022,94,-27,138,,1,-4.8,0,0.3,,27.66,-0.15,,FALSE,,3,,11,-6.1239,88.3659,50,40,,,,,15.2,14.6
2025-12-23T17:30:40.517075061Z,,,,,,107,-21,128,,-5,-4.2,-1,0.28,,27.66,-0.01,,FALSE,,3.2,,11,-6.1899,88.3524,,24,,,,,,
2025-12-23T17:30:41.517075061Z,,,,,0.012,95,-9,120,,3,-6.3,-1,0.34,,27.68,-0.03,,FALSE,,2.5,,11,-6.256,88.3389,51,34,,,,,14.5,13.7
2025-12-23T17:30:42.517075061Z,,,,,,95,-30,124,,-5,-2.7,0,0.38,,27.7,-0.07,,FALSE,,3.5,,11,-6.322,88.3253,,25,,,,,,
2025-12-23T17:30:43.517075061Z,,0.1,0.1,0,0.063,78,-19,119,177.5,3,-5.8,-1,0.22,80,27.69,-0.06,,FALSE,,2.1,"System nominal, all subsystems operating normally",12,-6.3881,88.3118,52,25,,,12.9,FALSE,15,14.7
2025-12-23T17:30:44.517075061Z,,,,,,70,-20,119,,2,-5.6,0,0.32,,27.65,-0.1,,FALSE,,3.3,,12,-6.4541,88.2983,,26,,,,,,
2025-12-23T17:30:45.517075061Z,,,,,0.025,77,-23,122,,-4,-5,-1,0.22,,27.67,-0.03,,FALSE,,3.4,,13,-6.5201,88.2848,50,41,,,,,15.3,13.1
2025-12-23T17:30:46.517075061Z,,,,,,77,-24,131,,-3,-5.2,-1,0.29,,27.61,-0.01,,FALSE,,2.4,,9,-6.5862,88.2712,,24,,,,,,
2025-12-23T17:30:47.517075061Z,,,,,0.012,80,-26,118,,-1,-5.5,1,0.27,,27.67,-0.01,,FALSE,,2.7,,12,-6.6522,88.2577,50,25,,,,,14.9,13.8
2025-12-23T17:30:48.517075061Z,,0,0,0.1,,77,-24,115,,-1,-5.9,0,0.31,,27.68,-0.03,,FALSE,,3.1,"System nominal, all subsystems operating normally",11,-6.7183,88.2442,,34,,,,,,
2025-12-23T17:30:49.517075061Z,,,,,0.065,81,-35,112,,5,-6.2,-2,0.29,,27.65,-0.04,,FALSE,,2.7,,11,-6.7843,88.2307,51,36,,,,,14.7,14.8
2025-12-23T17:30:50.517075061Z,,,,,,73,-21,113,,-11,-7.3,0,0.32,,27.65,0.03,,FALSE,,3.6,,11,-6.8504,88.2171,,38,,,,,,
2025-12-23T17:30:51.517075061Z,,,,,0.015,75,-36,108,,-6,-6.5,-1,0.38,,27.65,-0.08,,FALSE,,3.6,,12,-6.9164,88.2036,51,32,,,,,14.5,14
2025-12-23T17:30:52.517075061Z,,,,,,70,-43,96,,7,-6.6,0,0.24,,27.7,-0.02,,FALSE,,1.8,,12,-6.9824,88.19,,18,,,,,,
2025-12-23T17:30:53.517075061Z,,-0.1,0,0,0.103,84,-41,101,177.5,-12,-5.6,1,0.35,80.2,27.69,-0.03,,FALSE,,3.3,"System nominal, all subsystems operating normally",11,-7.0485,88.1765,52,19,,,11.6,FALSE,14.3,14.3
2025-12-23T17:30:54.517075061Z,,,,,,84,-56,88,,-6,-5.9,2,0.24,,27.65,0.05,,FALSE,,3,,14,-7.1145,88.163,,36,,,,,,
2025-12-23T17:30:55.517075061Z,,,,,0.075,88,-52,79,,-9,-4.1,1,0.24,,27.65,-0.03,,FALSE,,3.7,,11,-7.1806,88.1494,53,28,,,,,14.4,14.8
2025-12-23T17:30:56.517075061Z,,,,,,98,-60,92,,3,-2.2,0,0.35,,27.69,-0.07,,FALSE,,4.1,,12,-7.2466,88.1359,,22,,,,,,
2025-12-23T17:30:57.517075061Z,,,,,0.064,96,-51,97,,0,-5.5,-1,0.24,,27.65,-0.02,,FALSE,,3,,11,-7.3126,88.1223,51,24,,,,,14.4,14.1
2025-12-23T17:30:58.517075061Z,,0,0,0,,93,-56,92,,6,-4.3,-1,0.24,,27.65,-0.13,,FALSE,,3,"System nominal, all subsystems operating normally",11,-7.3787,88.1087,,28,,,,,,
2025-12-23T17:30:59.517075061Z,,,,,0.068,86,-54,81,,8,-4.8,0,0.36,,27.66,0.05,,FALSE,,3.3,,12,-7.4447,88.0952,51,19,,,,,14.2,14
2025-12-23T17:31:00.517075061Z,,,,,,91,-57,76,,3,-5.3,1,0.27,,27.72,0,,FALSE,,2.5,,11,-7.5108,88.0816,,20,,,,,,
2025-12-23T17:31:01.517075061Z,,,,,0.02,96,-42,102,,-4,-5.6,0,0.36,,27.65,-0.05,,FALSE,,2.6,,8,-7.5768,88.0681,51,38,,,,,14.3,14
2025-12-23T17:31:02.517075061Z,,,,,,89,-61,93,,0,-4.4,0,0.34,,27.69,0,,FALSE,,3,,11,-7.6428,88.0545,,21,,,,,,
2025-12-23T17:31:03.517075061Z,,0,0,-0.1,0.029,92,-59,92,177.5,7,-4.3,0,0.32,79.3,27.68,-0.01,,FALSE,,1.8,"System nominal, all subsystems operating normally",11,-7.7089,88.0409,50,27,,,11.8,FALSE,14.2,13.3
2025-12-23T17:31:04.517075061Z,,,,,,87,-57,85,,3,-4.8,0,0.27,,27.69,0.02,,FALSE,,2.9,,12,-7.7749,88.0273,,26,,,,,,
2025-12-23T17:31:05.517075061Z,,,,,0.05,79,-50,103,,9,-5.3,0,0.25,,27.64,0.03,,FALSE,,2.7,,12,-7.8409,88.0138,52,24,,,,,13.8,13.3
2025-12-23T17:31:06.517075061Z,,,,,,83,-52,113,,-4,-6.3,0,0.31,,27.62,0.03,,FALSE,,3.1,,12,-7.907,88.0002,,29,,,,,,
